proddate;idno;cntry;dweight;stflife;health;dosprt;gndr
20.11.2024;55952;AT;1.3796715;7;2;3;2
20.11.2024;55963;AT;0.39378572;10;2;0;2
20.11.2024;55974;AT;0.4512756;7;3;0;1
20.11.2024;56061;AT;0.7798974;6;3;7;1
20.11.2024;56076;AT;1.2197962;10;1;2;2
20.11.2024;56094;AT;0.8656501;8;4;0;1
20.11.2024;56109;AT;2.0319188;8;1;1;1
20.11.2024;56116;AT;1.5571986;9;1;7;2
20.11.2024;56127;AT;2.0010166;9;1;5;2
20.11.2024;56131;AT;1.6793709;2;3;0;2
20.11.2024;56133;AT;0.5487113;8;2;2;2
20.11.2024;56138;AT;0.581818;2;2;2;1
20.11.2024;56141;AT;0.9658987;9;3;5;2
20.11.2024;56159;AT;0.581818;9;2;2;1
20.11.2024;56160;AT;0.8729491;8;3;7;1
20.11.2024;56183;AT;0.8841213;8;3;7;1
20.11.2024;56190;AT;0.6575905;9;1;1;1
20.11.2024;56209;AT;0.51291066;8;2;5;2
20.11.2024;56218;AT;1.4718211;7;2;7;1
20.11.2024;56237;AT;1.1479118;8;2;4;2
20.11.2024;56273;AT;0.41018695;10;1;2;2
20.11.2024;56289;AT;0.49630266;8;2;7;1
20.11.2024;56315;AT;0.90939933;8;1;77;2
20.11.2024;56321;AT;1.483479;5;1;4;2
20.11.2024;56326;AT;0.53514904;7;1;4;1
20.11.2024;56343;AT;1.483479;9;1;5;1
20.11.2024;56379;AT;0.6465898;8;3;7;2
20.11.2024;56388;AT;2.619325;8;1;2;1
20.11.2024;56396;AT;0.58181804;8;2;5;1
20.11.2024;56459;AT;1.298437;10;1;5;2
20.11.2024;56480;AT;0.6465898;8;3;1;2
20.11.2024;56481;AT;0.8545763;8;2;3;2
20.11.2024;56496;AT;0.46410987;7;3;7;1
20.11.2024;56505;AT;1.1181765;8;3;0;1
20.11.2024;56533;AT;1.9045191;8;1;2;1
20.11.2024;56559;AT;0.8656501;9;2;7;2
20.11.2024;56567;AT;0.76981914;8;2;4;1
20.11.2024;56583;AT;0.5129107;8;1;5;2
20.11.2024;56584;AT;0.9137663;7;3;0;1
20.11.2024;56615;AT;2.3410053;9;1;1;1
20.11.2024;56618;AT;1.2219335;10;1;2;2
20.11.2024;56637;AT;0.43240285;7;1;3;1
20.11.2024;56665;AT;2.2157118;8;2;7;1
20.11.2024;56667;AT;0.6854701;9;1;3;1
20.11.2024;56678;AT;0.9669464;9;3;1;2
20.11.2024;56693;AT;1.6459624;8;2;7;2
20.11.2024;56730;AT;2.1420085;7;4;0;2
20.11.2024;56746;AT;0.69352174;7;1;6;1
20.11.2024;56769;AT;0.43501446;7;3;2;2
20.11.2024;56774;AT;1.4504194;8;1;5;1
20.11.2024;56796;AT;0.27036247;7;3;0;1
20.11.2024;56805;AT;0.83203745;5;3;0;1
20.11.2024;56846;AT;1.0814499;7;2;0;1
20.11.2024;56849;AT;1.1535693;10;1;5;1
20.11.2024;56854;AT;1.073635;8;2;6;2
20.11.2024;56857;AT;1.073635;7;2;2;1
20.11.2024;56866;AT;2.6969385;0;1;7;1
20.11.2024;56870;AT;1.3096625;7;2;5;2
20.11.2024;56882;AT;1.3870435;8;1;6;1
20.11.2024;56921;AT;0.43672693;5;3;3;1
20.11.2024;56928;AT;0.48294935;8;2;2;1
20.11.2024;56929;AT;0.6996222;8;2;5;2
20.11.2024;56930;AT;0.45549974;9;1;4;2
20.11.2024;56942;AT;0.7366085;7;2;4;2
20.11.2024;56949;AT;0.60989815;6;3;2;2
20.11.2024;56950;AT;0.7227953;10;2;2;1
20.11.2024;56977;AT;0.45549974;7;2;5;1
20.11.2024;56984;AT;0.535149;7;2;7;2
20.11.2024;56993;AT;0.4991056;8;1;4;1
20.11.2024;56999;AT;1.070298;8;1;5;2
20.11.2024;57012;AT;0.43954623;8;3;4;1
20.11.2024;57017;AT;0.55606145;5;3;1;2
20.11.2024;57031;AT;0.9658987;5;2;0;1
20.11.2024;57035;AT;0.581818;6;1;5;1
20.11.2024;57038;AT;0.38012287;8;3;7;1
20.11.2024;57050;AT;1.6292447;9;1;2;2
20.11.2024;57073;AT;0.5486541;7;1;3;2
20.11.2024;57074;AT;2.2252185;8;3;88;2
